sub,POA,token,syll_dur,v_dur,vot,Av,Ahi,max23,HiDiff,F23Diff
2,2,306,0.405,0.277,0.128,32.5,3.5,15.4,29,17.1
4,2,720,0.0693,0.0497,0.0196,40.1,21.8,23,18.3,17.1
4,3,750,0.205,0.1648,0.0402,28.6,9.3,11.5,19.3,17.1
5,2,933,0.1703,0.1116,0.0587,30,12.5,12.9,17.5,17.1
7,3,1178,0.166,0.143,0.023,34.7,12.3,17.6,22.4,17.1
12,3,119,0.392,0.322,0.07,24.8,-2.2,7.7,27,17.1
12,3,142,0.285,0.235,0.05,22.6,-8.8,5.5,31.4,17.1
1,3,223,0.099,0.0731,0.0259,31.2,-0.9,14,32.1,17.2
2,3,397,0.135,0.098,0.037,43.2,6.8,26,36.4,17.2
5,2,979,0.1055,0.0667,0.0388,23.7,0.8,6.5,22.9,17.2
11,3,101,0.445,0.379,0.066,37.8,5.5,20.6,32.3,17.2
12,3,129,0.258,0.2,0.058,33.8,1.2,16.6,32.6,17.2
2,2,305,0.429,0.31,0.119,28.9,7,11.6,21.9,17.3
7,3,1185,0.136,0.113,0.023,32.7,9.6,15.4,23.1,17.3
9,3,1470,0.172,0.141,0.031,40.8,8.4,23.5,32.4,17.3
10,2,1575,0.158,0.125,0.033,25.6,6.9,8.3,18.7,17.3
11,3,99,0.462,0.384,0.078,35.7,5.5,18.4,30.2,17.3
1,1,3,0.3939,0.3114,0.0825,28.9,4.5,11.5,24.4,17.4
5,3,1003,0.39,0.298,0.092,33.7,-0.3,16.3,34,17.4
9,3,1473,0.158,0.126,0.032,43,15.1,25.6,27.9,17.4
1,1,13,0.2746,0.1862,0.0884,27,-1.5,9.5,28.5,17.5
2,2,302,0.438,0.321,0.117,32.2,8.8,14.7,23.4,17.5
4,3,746,0.2139,0.1726,0.0413,32.6,10.6,15.1,22,17.5
9,3,1472,0.154,0.113,0.041,43,12.8,25.5,30.2,17.5
10,2,1559,0.269,0.178,0.091,27.4,12.3,9.9,15.1,17.5
10,2,1562,0.256,0.193,0.063,26.2,16.6,8.7,9.6,17.5
10,3,1640,0.119,0.071,0.048,25.8,1.8,8.3,24,17.5
6,3,5,0.276,0.201,0.075,40.3,12.6,22.8,27.7,17.5
